PrivateChatMessageCount,PrivateChatMessageCountNormalized,CallCount,CallCountNormalized,MSTeamsUsageKey
24,1.49E-02,2,8.03E-03,59736631
0,0,2,3.03E-02,60102951
181,0.112562187,10,4.02E-02,59736654
0,0,0,0,60103017
59,3.57E-02,2,3.03E-02,60103033
9,5.60E-03,0,0,59736666
0,0,0,0,59736693
91,3.27E-02,0,0,60217504
1,6.22E-04,2,8.03E-03,59736729
8,2.87E-03,0,0,60475469
76,4.73E-02,5,2.01E-02,59736767
148,5.32E-02,10,3.48E-02,60475470
81,0.029094828,1,3.48E-03,60475472
14,5.27E-03,0,0,60744180
180,6.78E-02,3,9.65E-03,60744181
46,2.18E-02,1,3.24E-03,61757068
1,3.71E-04,1,2.67E-03,60648787
61,2.89E-02,0,0,61757082
19,1.40E-02,19,0.086757988,61007241
54,2.03E-02,15,4.82E-02,60744188
0,0,0,0,60648859
375,0.138940349,9,2.40E-02,60648860
6,2.84E-03,0,0,61757090
116,0.0436747,0,0,60744191
102,3.78E-02,0,0,60648862
0,0,0,0,60744199
289,0.107076697,8,2.13E-02,60648929
104,0.049195837,0,0,61757099
144,6.81E-02,4,1.29E-02,61890813
24,9.04E-03,0,0,60744212
45,1.69E-02,1,3.22E-03,60744228
76,2.82E-02,6,1.60E-02,60648930
0,0,0,0,61007242
180,6.78E-02,10,3.22E-02,60744231
7,3.31E-03,1,3.24E-03,61890817
0,0,0,0,61890823
206,7.63E-02,5,1.33E-02,60648931
18,6.67E-03,8,2.13E-02,60648932
239,9.96E-02,6,0.022222223,61007240
0,0,0,0,61334475
101,3.74E-02,0,0,60648933
2,7.41E-04,0,0,60648934
83,3.93E-02,15,4.85E-02,61890825
0,0,0,0,61334476
0,0,0,0,61334477
0,0,0,0,61334478
95,4.49E-02,3,9.71E-03,61890827
0,0,0,0,60648935
42,1.56E-02,10,2.67E-02,60648936
13,5.42E-03,5,1.85E-02,61334480
37,1.75E-02,0,0,61985120
171,6.34E-02,18,4.80E-02,60648937
9,6.64E-03,0,0,61334481
0,0,0,0,59736633
0,0,0,0,60102952
21,1.31E-02,0,0,59736634
11,6.66E-03,0,0,60102953
97,6.03E-02,2,8.03E-03,59736643
48,0.029850746,2,8.03E-03,59736650
0,0,0,0,60102976
45,2.80E-02,2,8.03E-03,59736688
0,0,0,0,60102984
13,8.08E-03,4,1.61E-02,59736700
0,0,0,0,60102998
40,2.49E-02,12,4.82E-02,59736718
0,0,0,0,60103001
60,0.037313432,0,0,59736740
14,8.71E-03,1,4.02E-03,59736755
69,4.29E-02,17,6.83E-02,59736770
9,5.45E-03,1,1.52E-02,60103025
0,0,1,1.52E-02,60103028
129,8.02E-02,3,1.20E-02,59736780
0,0,0,0,59736784
26,1.62E-02,12,4.82E-02,59736805
0,0,0,0,60103045
140,8.71E-02,1,4.02E-03,59736815
2,1.21E-03,0,0,60103080
30,1.82E-02,1,1.52E-02,60103091
3,1.82E-03,0,0,60103104
60,0.037313432,8,3.21E-02,59736823
23,1.43E-02,3,1.20E-02,59736845
0,0,2,3.03E-02,60103118
0,0,0,0,60103119
8,4.98E-03,3,1.20E-02,59736862
0,0,0,0,60103137
55,3.33E-02,1,1.52E-02,60103169
188,0.11691542,2,8.03E-03,59736892
158,9.83E-02,1,4.02E-03,59736908
0,0,0,0,60103170
2,1.21E-03,0,0,60103171
56,3.48E-02,17,6.83E-02,59736919
0,0,1,1.52E-02,60103184
98,6.09E-02,6,2.41E-02,59736921
0,0,1,1.52E-02,60103212
76,4.73E-02,6,2.41E-02,59736945
0,0,0,0,60103230
0,0,0,0,60103248
0,0,0,0,60103249
0,0,0,0,60103266